Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение
2020 Hyundai Elantra Sel,$ 2 450 USD,1,5NPD84LF6LH604435,85 681 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 14 762 USD,$ 19 650 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2013 Volkswagen Passat Sel,$ 950 USD,1,1VWCH7A38DC093617,115 481 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 5,,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 0 USD,$ 8 300 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Незначительная вмятина/царапины
2015 Infiniti Qx70,$ 4 250 USD,1,JN8CS1MU9FM380181,134 748 mi(подтвержден),16.05.2024 17:00 UTC,3.7l 6,,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 13 934 USD,$ 13 350 USD,TN - SALVAGE CERTIFICATE,Кража,Верх/крыша,
2015 Dodge Journey Se,$ 1 100 USD,1,3C4PDCAB9FT683400,147 925 mi(подтвержден),16.05.2024 17:00 UTC,2.4l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""SHREVEPORT, TEXAS"",$ 6 731 USD,$ 7 100 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение стороны
2011 Chevrolet Suburban C1500 Lt,$ 1 950 USD,1,1GNSCJE08BR291447,157 162 mi(подтвержден),16.05.2024 17:00 UTC,5.3l 8,,Белый,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,двигатель запускается,""HOUSTON, TEXAS"",$ 8 851 USD,$ 10 925 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2011 Kia Sorento Ex,$ 900 USD,1,5XYKU4A22BG163511,248 519 mi(подтвержден),16.05.2024 17:00 UTC,3.5l 6,,Бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""GRAND PRAIRIE, TEXAS"",$ 10 343 USD,$ 6 050 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение стороны,Повреждение стороны
2022 Harley-davidson Fltrxs,$ 7 000 USD,1,1HD1KTP18NB672980,,16.05.2024 17:00 UTC,2,,Черный,Механическая,Бензин,,Ключи присутствуют,улучшенные транспортные средства,""MEMPHIS, MISSISSIPPI"",$ 22 416 USD,$ 0 USD,MS - CERT OF TITLE-SALVAGED,Столкновение,Повсюду,
2000 Peterbilt 379,$ 12 900 USD,1,1XP5D69X4YN468453,,16.05.2024 16:00 UTC,6,,Красный,Механическая,Дизель,задний привод,Ключи присутствуют,улучшенные транспортные средства,""FARR WEST, UTAH"",$ 0 USD,$ 28 750 USD,UT - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Повреждение передней части
2016 Jeep Wrangler Unlimited Sport,$ 12 100 USD,1,1C4BJWDG7GL340786,86 736 mi(подтвержден),16.05.2024 19:00 UTC,3.6l 6,,Белый,Автоматическая,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""LAS VEGAS, NEVADA"",$ 24 417 USD,$ 19 900 USD,NV - SALVAGE TITLE,Столкновение,Незначительная вмятина/царапины,
2015 Jeep Wrangler Unlimited Sahara,$ 7 500 USD,1,1C4BJWEG1FL761853,131 669 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,,Зеленый,Автоматическая,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""GRAND PRAIRIE, TEXAS"",$ 20 312 USD,$ 19 750 USD,TX - SALVAGE VEHICLE TITLE,Неизвестно,Повреждение передней части,
2004 Kia Spectra Lx,$ 625 USD,1,KNAFE122445048199,101 438 mi(подтвержден),16.05.2024 19:00 UTC,2.0l 4,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LOS ANGELES, CALIFORNIA"",$ 5 111 USD,$ 0 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Повреждение передней части
2021 Nissan Altima Sr,$ 3 050 USD,1,1N4BL4CVXMN366979,36 850 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MONTGOMERY, ALABAMA"",$ 22 149 USD,$ 21 500 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повсюду,
2023 Nissan Altima Sv,$ 11 200 USD,1,1N4BL4DVXPN313590,9 141 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""MEMPHIS, TENNESSEE"",$ 24 986 USD,$ 26 325 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение ходовой части
2016 Jeep Compass Sport,$ 2 350 USD,1,1C4NJDBB8GD713790,68 464 mi(подтвержден),16.05.2024 19:00 UTC,2.4l 4,4-дверный спорт,Серый,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,""RENO, NEVADA"",$ 12 253 USD,$ 9 450 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,
2018 Bmw X1 Xdrive28i,$ 6 900 USD,1,WBXHT3C39J5K30886,86 387 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""MONTGOMERY, ALABAMA"",$ 19 801 USD,$ 19 800 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение стороны,Незначительная вмятина/царапины
2018 Toyota Rav4 Le,$ 6 800 USD,1,2T3BFREV2JW850449,68 619 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Угольный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 17 931 USD,$ 19 800 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2021 Chevrolet Malibu Lt,$ 5 700 USD,1,1G1ZD5ST3MF028645,62 917 mi(подтвержден),16.05.2024 17:00 UTC,1.5l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""WILMER, TEXAS"",$ 10 750 USD,$ 21 275 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение стороны,Незначительная вмятина/царапины
2017 Chevrolet Silverado K1500 Ltz,$ 3 200 USD,1,3GCUKSEC8HG485280,,16.05.2024 17:00 UTC,5.3l 8,,Черный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""HOUSTON, TEXAS"",$ 22 000 USD,$ 29 500 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Биологическая/Химическая опасность,Повсюду
2022 Kawasaki Kl650 G,$ 900 USD,1,ML5KLEG1XNDA00967,12 875 mi(подтвержден),16.05.2024 17:00 UTC,1,,Бежевый,Механическая,Бензин,,Ключи присутствуют,заводится и едет,""TANNER, ALABAMA"",$ 2 018 USD,$ 0 USD,AL - CERT OF TITLE-SALVAGE TITLE,Столкновение,Повреждение стороны,Повреждение передней части
2017 Ram 2500 Laramie,$ 10 600 USD,1,3C6UR5FL1HG756389,137 795 mi(подтвержден),16.05.2024 17:00 UTC,6.7l 6,,Белый,Автоматическая,Дизель,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""MEMPHIS, TENNESSEE"",$ 30 888 USD,$ 35 475 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение передней части
2011 Acura Tsx,$ 3 350 USD,1,JH4CW2H63BC001952,79 015 mi(подтвержден),16.05.2024 17:00 UTC,2.4l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""GRAND PRAIRIE, TEXAS"",$ 11 421 USD,$ 16 300 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение задней части,
2013 Toyota Camry L,$ 1 950 USD,1,4T4BF1FK3DR292118,172 930 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""HOUSTON, TEXAS"",$ 8 309 USD,$ 9 500 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение ходовой части,Незначительная вмятина/царапины
2015 Infiniti Qx70,$ 4 250 USD,1,JN8CS1MU9FM380181,134 748 mi(подтвержден),16.05.2024 17:00 UTC,3.7l 6,,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""MEMPHIS, TENNESSEE"",$ 13 934 USD,$ 13 350 USD,TN - SALVAGE CERTIFICATE,Кража,Верх/крыша,
2014 Lexus Is 250,$ 3 550 USD,1,JTHBF1D29E5017753,178 438 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 6,,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""SAN ANTONIO, TEXAS"",$ 5 508 USD,$ 13 975 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2013 Ram 1500 St,$ 2 550 USD,1,1C6RR6FT1DS619015,144 468 mi(подтвержден),16.05.2024 19:00 UTC,5.7l 8,,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""RANCHO CUCAMONGA, CALIFORNIA"",$ 17 331 USD,$ 12 175 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны
2016 Yamaha Fz07,$ 3 050 USD,1,JYARM06E6GA008909,12 014 mi,16.05.2024 17:00 UTC,2,гонщик,Черный,Механическая,Бензин,,Ключи присутствуют,заводится и едет,""MADISONVILLE, TENNESSEE"",$ 4 074 USD,$ 0 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повсюду,
2017 Hyundai Elantra Se,$ 1 900 USD,1,KMHD74LF1HU369258,50 626 mi(подтвержден),16.05.2024 14:00 UTC,2.0l 4,,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""EAST GRANBY, CONNECTICUT"",$ 12 292 USD,$ 11 225 USD,CT - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,Повреждение передней части
2022 Polaris Rzr Trail S 1000 Premium,$ 2 650 USD,1,3NSASE998NH415222,,16.05.2024 17:00 UTC,2,,Синий,Автоматическая,Бензин,,,,""COLUMBUS, OHIO"",$ 14 652 USD,$ 0 USD,OH - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,
2018 Polaris Rzr Xp 1000 Eps High Lifter Edition,$ 5 000 USD,1,3NSVDM994JF404228,4 538 mi(подтвержден),16.05.2024 17:00 UTC,2,,Черный,Автоматическая,Бензин,,Ключи присутствуют,заводится и едет,""CAHOKIA HEIGHTS, ILLINOIS"",$ 14 933 USD,$ 0 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины
2020 Volvo Vn Vnl,$ 8 500 USD,1,4V4NC9EH1LN236541,373 447 mi,16.05.2024 16:00 UTC,12.8l 6,,Белый,Автоматическая,Дизель,задний привод,Ключи присутствуют,,""HOUSTON, TEXAS"",$ 0 USD,$ 59 400 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение стороны
2008 Ford F150 Supercrew,$ 2 400 USD,2,1FTRW14528FA68603,94 882 mi,16.05.2024 17:00 UTC,5.4l 8,,Белый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""WILMER, TEXAS"",$ 14 220 USD,$ 7 575 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение ходовой части
