Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Кузов,Второстепенное повреждение
2014 Toyota Camry L,$ 4 400 USD,1,4T4BF1FK3ER383908,105 923 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 8 054 USD,$ 11 400 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение задней части,,
2015 Toyota Prius C,$ 4 050 USD,1,JTDKDTB32F1087666,127 679 mi(подтвержден),15.05.2024 19:00 UTC,1.5l 4,Серый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 10 392 USD,$ 10 575 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,
2017 Chevrolet Trax Ls,$ 1 500 USD,2,KL7CJKSB6HB103568,98 492 mi(подтвержден),15.05.2024 19:00 UTC,1.4l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 8 782 USD,$ 10 025 USD,NV - SALVAGE TITLE,Столкновение,Повреждение стороны,4-дверный спорт,Повреждение передней части
2015 Ram 1500 Longhorn,$ 5 400 USD,1,1C6RR7WM2FS757177,173 829 mi(подтвержден),15.05.2024 19:00 UTC,3.0l 6,Белый,Автоматическая,Дизель,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 24 204 USD,$ 24 175 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Незначительная вмятина/царапины,,
2006 Chevrolet Malibu Lt,$ 125 USD,7,1G1ZT51876F188854,76 222 mi,15.05.2024 19:00 UTC,3.5l 6,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 0 USD,$ 4 788 USD,OR - CERT OF TITLE-RECONSTRUCTED,Дилерские услуги Copart,Повреждение передней части,4-дверный седан,
2021 Toyota Rav4 Xle,$ 6 100 USD,1,2T3P1RFV5MW203857,65 606 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,,""NORTH LAS VEGAS, NEVADA"",$ 20 521 USD,$ 28 200 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2016 Hyundai Tucson Se,$ 2 800 USD,1,KM8J23A40GU211425,98 469 mi,15.05.2024 19:00 UTC,2.0l 4,Серебряный,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""NORTH LAS VEGAS, ARIZONA"",$ 0 USD,$ 12 000 USD,AZ - CERT OF TITLE - SALVAGE,Кража,Вандализм,4-дверный спорт,
2018 Jeep Grand Cherokee Limited,$ 5 200 USD,1,1C4RJFBG1JC249568,31 750 mi(подтвержден),15.05.2024 19:00 UTC,3.6l 6,Синий,Автоматическая,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,""AIRWAY HEIGHTS, WASHINGTON"",$ 22 358 USD,$ 21 975 USD,WA - BILL OF SALE,Столкновение,Повреждение стороны,,Повреждение передней части
2020 Gmc Sierra K2500 Denali,$ 28 250 USD,1,1GT49REY1LF118523,124 656 mi(подтвержден),15.05.2024 19:00 UTC,6.6l 8,Серый,Автоматическая,Дизель,4х4 с задним приводом,Ключи присутствуют,,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 63 950 USD,NV - SALVAGE TITLE,Кража,Незначительная вмятина/царапины,,
2022 Western Star/auto Car 5700 Xe,$ 4 200 USD,1,5KJJBHDR2NLNM2358,,15.05.2024 17:00 UTC,14.8l 6,Белый,Автоматическая,Дизель,задний привод,,,""LEBANON, TENNESSEE"",$ 122 804 USD,$ 0 USD,TN - SALVAGE CERTIFICATE,Пожар,Пожар,,
2013 Toyota Avalon Base,$ 3 150 USD,1,4T1BK1EBXDU014114,175 681 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 11 169 USD,$ 13 675 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повсюду,,
2007 Toyota Highlander Sport,$ 925 USD,1,JTEHP21AX70207678,188 545 mi(подтвержден),15.05.2024 19:00 UTC,3.3l 6,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 11 756 USD,$ 7 750 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,
2015 Ford Fusion Se Phev,$ 1 800 USD,1,3FA6P0PU4FR260737,121 752 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Серый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 11 014 USD,$ 9 575 USD,NV - SALVAGE TITLE,Столкновение,Повреждение стороны,4-дверный седан,
2017 Nissan Maxima 3.5s,$ 2 650 USD,2,1N4AA6AP6HC424590,28 521 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 14 867 USD,$ 21 600 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,4-дверный седан,Повреждение рамы
2011 Volkswagen Jetta Tdi,$ 625 USD,9,3VWPL7AJ5BM697555,144 641 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Черный,Автоматическая,Дизель,передний привод,Ключи присутствуют,улучшенные транспортные средства,""SUN VALLEY, CALIFORNIA"",$ 0 USD,$ 7 350 USD,CA - CERT OF TITLE-SALVAGED,Дилерские услуги Copart,Незначительная вмятина/царапины,стационарный (неподвижный),История повреждений
2014 Kia Soul +,$ 2 200 USD,1,KNDJP3A57E7008302,60 630 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Зеленый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 0 USD,$ 11 575 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2015 Exma Mower,$ 600 USD,4,315637328,4 340 mi(подтвержден),15.05.2024 17:00 UTC,,Красный,Автоматическая,,,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 0 USD,$ 0 USD,TN - BILL OF SALE,Дилерские услуги Copart,Нормальный износ,,
2011 Honda Civic Lx,$ 1 350 USD,1,2HGFA1F50BH523678,169 157 mi(подтвержден),15.05.2024 19:00 UTC,1.8l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 7 750 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2016 Volkswagen Jetta S,$ 1 500 USD,1,3VW267AJ6GM237216,,15.05.2024 19:00 UTC,1.4l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, UTAH"",$ 0 USD,$ 9 325 USD,UT - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Незначительная вмятина/царапины
1997 Oldsmobile Achieva Sl,$ 90 USD,2,1G3NL52T8VM346704,128 546 mi,15.05.2024 19:00 UTC,2.4l 4,Зеленый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""AIRWAY HEIGHTS, WASHINGTON"",$ 6 199 USD,$ 0 USD,WA - BILL OF SALE,Столкновение,Повреждение передней части,,
2018 Rock Mini Lite,$ 1 450 USD,1,4X4TRLA24JD421437,,15.05.2024 17:00 UTC,,Желто-коричневый,,,,,улучшенные транспортные средства,""NEW ORLEANS, LOUISIANA"",$ 19 411 USD,$ 0 USD,LA - CERT OF TITLE-SALVAGE,Неизвестно,Повреждение передней части,,
2016 Ford Transit T-250,$ 2 350 USD,1,1FTYR1ZM9GKA58479,103 393 mi(подтвержден),15.05.2024 16:00 UTC,3.7l 6,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 23 169 USD,$ 22 525 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,грузовой фургон,
2008 Chevrolet Cobalt Lt,$ 650 USD,1,1G1AL58F487172626,189 445 mi,15.05.2024 19:00 UTC,2.2l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 5 434 USD,$ 4 900 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2015 Ford F150 Supercrew,$ 3 750 USD,1,1FTEW1EF0FFA48191,125 462 mi(подтвержден),15.05.2024 19:00 UTC,5.0l 8,Угольный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 22 357 USD,$ 21 300 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2015 Honda Fit Ex,$ 3 600 USD,1,3HGGK5H89FM704947,145 545 mi(подтвержден),15.05.2024 17:00 UTC,1.5l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 5 923 USD,$ 11 750 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2008 Infiniti G35,$ 1 400 USD,1,JNKBV61F18M258000,62 363 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 13 000 USD,$ 5 625 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение задней части,,
2016 Buick Verano,$ 675 USD,1,1G4PP5SK0G4123432,122 557 mi,15.05.2024 17:00 UTC,2.4l 4,Угольный,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""LEBANON, TENNESSEE"",$ 9 493 USD,$ 9 850 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,4-дверный седан,Незначительная вмятина/царапины
2012 Honda Insight Lx,$ 100 USD,3,JHMZE2H50CS002441,,15.05.2024 17:00 UTC,1.3l 4,Серебряный,Автоматическая,Гибрид,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NEW ORLEANS, LOUISIANA"",$ 8 036 USD,$ 6 975 USD,LA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2007 Toyota Corolla Ce,$ 2 950 USD,1,1NXBR30E67Z800652,296 424 mi(подтвержден),15.05.2024 19:00 UTC,1.8l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, MONTANA"",$ 0 USD,$ 6 500 USD,MT - CERTIFICATE OF TITLE,Неизвестно,Повреждение задней части,,
2020 Hyundai Elantra Sel,$ 2 300 USD,1,5NPD84LF4LH606054,52 013 mi,15.05.2024 19:00 UTC,2.0l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 11 966 USD,$ 18 875 USD,NV - SALVAGE TITLE,Кража,Повреждение задней части,,Повреждение передней части
2016 Hyundai Sonata Se,$ 1 050 USD,1,5NPE24AF3GH269407,,15.05.2024 19:00 UTC,2.4l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 9 300 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,4-дверный седан,Повреждение стороны
2014 Ford Mustang Gt,$ 6 300 USD,1,1ZVBP8CF7E5272331,83 383 mi(подтвержден),15.05.2024 19:00 UTC,5.0l 8,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, CALIFORNIA"",$ 0 USD,$ 13 975 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Повреждение ходовой части
2019 Ram Promaster City,$ 3 700 USD,1,ZFBHRFAB8K6M21656,108 266 mi(подтвержден),15.05.2024 16:00 UTC,2.4l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""COLTON, CALIFORNIA"",$ 13 675 USD,$ 18 350 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повреждение задней части,,
